DB report,5/26/2026 23:13,DB Version v7.3.0,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,
Keyword,Key,U-Value (incl bridging) (W/m2K),Km (KJ/K),Cost per surface area (EGP/m2),,,,,,,,,,,,,,
CONSTRUCTION ,Project internal floor,2.929,88.2,1988.64,,,,,,,,,,,,,,
CONSTRUCTION ,Project external floor,0.246,6.294,757.58,,,,,,,,,,,,,,
CONSTRUCTION ,Best roof,0.223,240,6089.02,,,,,,,,,,,,,,
CONSTRUCTION ,Project internal mass,3.017,88.2,1988.64,,,,,,,,,,,,,,
CONSTRUCTION ,Project ground floor,0.25,93.96,3210.23,,,,,,,,,,,,,,
CONSTRUCTION ,Project partition,1.639,22.5,606.06,,,,,,,,,,,,,,
CONSTRUCTION ,Best wall,1.774,143.164,946.97,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,
Keyword,Name,Layers,UValue (W/m2K),Trans Light (VT),Trans Total (SHGC),Trans Direct Solar,Cost per surface area (EGP/m2),,,,,,,,,,,
GLAZING ,Project internal glazing,3,2.178,0.738,0.682,0.595,1609.85,,,,,,,,,,,
GLAZING ,SageGlass Climatop Blue No Tint,3,0.687,0.357,0.248,0.192,946.97,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Building Data,,,,,,,,,,,,,,,,,,
Building number of zones:,312,,,,,,,,,,,,,,,,,
Building heated/cooled floor area (m2),17948.18,,,,,,,,,,,,,,,,,
Building volume (m3),97074.29,,,,,,,,,,,,,,,,,
Building external area (m2),30155.8,,,,,,,,,,,,,,,,,
Building area-weighted average U-value (W/m2K),1.137,,,,,,,,,,,,,,,,,
Building external surface area/Volume (m-1),0.311,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Activity Area Summary,,,,,,,,,,,,,,,,,,
Activity,Area (m2),,,,,,,,,,,,,,,,,
Generic Office Area,17948.18,,,,,,,,,,,,,,,,,
Total,17948.18,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Zone,Activity,Floor area (m2),Volume (m3),Heated?,Heating SetPoint Temperature (C),Cooled?,Cooling SetPoint Temperature (C),,,,,,,,,,,
Ground Floor - Zone 1,Generic Office Area,272.101,1524.629,TRUE,22,TRUE,24,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
