zone_name,Element,Adjacent condition,Area-Nett (m2),Flow path,U-Value (W/K-m2),U-Value*Area (W/K),Km (KJ/m2-K),Km*Area (KJ/K),SROut (m2-K/W),SRIn (m2-K/W),Orientation (deg E of N),Slope (deg),Heavyweight?,Embodied Carbon (kgCO2),Embodied Carbon Flag,Equivalent CO2 (kgCO2),Equivalent CO2 Flag,Cost of Surface Finish (EGP)
Ground Floor - Zone 1,Infiltration,Outside,,,,384.722,,,,,,,False,0.0,,,,
Ground Floor - Zone 1,Ceiling,First floor - Zone 2,49.839,Project internal floor_Reversed,2.929,145.972,88.2,4395.8,0.17,0.1,180.0,0.0,True,418.648,,418.648,,21238.0
Ground Floor - Zone 1,Ceiling,First floor - Zone 5,23.286,Project internal floor_Reversed,2.929,68.2017,88.2,2053.825,0.17,0.1,180.0,0.0,True,195.602,,195.602,,9923.0
Ground Floor - Zone 1,Ceiling,First floor - Zone 14,23.345,Project internal floor_Reversed,2.929,68.3745,88.2,2059.029,0.17,0.1,180.0,0.0,True,196.098,,196.098,,9948.0
Ground Floor - Zone 1,Ceiling,First floor - Zone 92,65.119,Project internal floor_Reversed,2.929,190.7251,88.2,5743.497,0.17,0.1,180.0,0.0,True,547.0,,547.0,,27750.0
Ground Floor - Zone 1,Ceiling,First floor - Zone 13,36.9,Project internal floor_Reversed,2.929,108.0753,88.2,3254.58,0.17,0.1,180.0,0.0,True,309.96,,309.96,,15724.0
Ground Floor - Zone 1,Ceiling,First floor - Zone 12,72.373,Project internal floor_Reversed,2.929,211.9711,88.2,6383.299,0.17,0.1,180.0,0.0,True,607.933,,607.933,,30841.0
Ground Floor - Zone 1,Ceiling,First floor - Zone 11,1.234,Project internal floor_Reversed,2.929,3.6142,88.2,108.8388,0.17,0.1,180.0,0.0,True,10.366,,10.366,,526.0
Ground Floor - Zone 1,Wall,Outside,52.307,Best wall,1.774,92.7973,143.164,7488.479,0.04,0.13,180.0,90.0,True,6945.323,,7099.106,,19813.0
Ground Floor - Zone 1,Wall,Outside,113.192,Best wall,1.774,200.8127,143.164,16205.02,0.04,0.13,90.0,90.0,True,15029.63,,15362.42,,42876.0
Ground Floor - Zone 1,Wall,Outside,2.065,Best wall,1.774,3.6635,143.164,295.6337,0.04,0.13,270.0,90.0,True,274.191,,280.262,,782.0
Ground Floor - Zone 1,Partition,Ground Floor - Zone 2,53.69,Project partition,1.639,88.0164,22.5,1208.025,0.13,0.13,269.83,90.0,True,144.963,,157.043,,20337.0
Ground Floor - Zone 1,Partition,Ground Floor - Zone 91,98.206,Project partition,1.639,160.9934,22.5,2209.635,0.13,0.13,269.83,90.0,True,265.156,,287.253,,37199.0
Ground Floor - Zone 1,Partition,Ground Floor - Zone 5,64.901,Project partition,1.639,106.3951,22.5,1460.273,0.13,0.13,359.74,90.0,True,175.233,,189.835,,24584.0
Ground Floor - Zone 1,Wall,Outside,6.195,Best wall,1.774,10.9905,143.164,886.901,0.04,0.13,0.0,90.0,True,822.572,,840.785,,2347.0
Ground Floor - Zone 1,Ground floor,Ground,272.101,Project ground floor,0.25,68.008,93.96,25566.61,0.01,0.17,0.0,180.0,True,11094.12,,11197.73,,115952.0
