date,year,month,day_of_year,weekday,day_name,day_type,activity_type,floor_area_m2,volume_m3,operating_hours,occupancy_factor,lighting_schedule_factor,equipment_schedule_factor,fan_schedule_factor,pump_schedule_factor,heating_setpoint_c,cooling_setpoint_c,heating_mode_weight,cooling_mode_weight,shoulder_mode_weight,seasonal_energy_proxy_factor,source
2020-01-01,2020,1,1,2,Wednesday,weekday,Generic Office Area,17948.18,97074.29,12.0,0.78,0.813,0.835,0.857,0.846,22.0,24.0,1.0,0.0,0.0,0.98,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-01-02,2020,1,2,3,Thursday,weekday,Generic Office Area,17948.18,97074.29,12.0,0.78,0.813,0.835,0.857,0.846,22.0,24.0,1.0,0.0,0.0,0.98,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-01-03,2020,1,3,4,Friday,weekend,Generic Office Area,17948.18,97074.29,4.0,0.1716,0.2959,0.3787,0.1538,0.14,22.0,24.0,1.0,0.0,0.0,0.98,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-01-04,2020,1,4,5,Saturday,weekend,Generic Office Area,17948.18,97074.29,4.0,0.1716,0.2959,0.3787,0.1538,0.14,22.0,24.0,1.0,0.0,0.0,0.98,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-01-05,2020,1,5,6,Sunday,weekday,Generic Office Area,17948.18,97074.29,12.0,0.78,0.813,0.835,0.857,0.846,22.0,24.0,1.0,0.0,0.0,0.98,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-01-06,2020,1,6,0,Monday,weekday,Generic Office Area,17948.18,97074.29,12.0,0.78,0.813,0.835,0.857,0.846,22.0,24.0,1.0,0.0,0.0,0.98,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-01-07,2020,1,7,1,Tuesday,weekday,Generic Office Area,17948.18,97074.29,12.0,0.78,0.813,0.835,0.857,0.846,22.0,24.0,1.0,0.0,0.0,0.98,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-01-08,2020,1,8,2,Wednesday,weekday,Generic Office Area,17948.18,97074.29,12.0,0.78,0.813,0.835,0.857,0.846,22.0,24.0,1.0,0.0,0.0,0.98,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-01-09,2020,1,9,3,Thursday,weekday,Generic Office Area,17948.18,97074.29,12.0,0.78,0.813,0.835,0.857,0.846,22.0,24.0,1.0,0.0,0.0,0.98,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
2020-01-10,2020,1,10,4,Friday,weekend,Generic Office Area,17948.18,97074.29,4.0,0.1716,0.2959,0.3787,0.1538,0.14,22.0,24.0,1.0,0.0,0.0,0.98,DesignBuilder building report + transparent activity-based proxy; not exact hourly DB schedule
