zone_name,activity,floor_area_m2,volume_m3,heated,heating_setpoint_c,cooled,cooling_setpoint_c
Ground Floor - Zone 1,Generic Office Area,272.101,1524.629,True,22.0,True,24.0
Ground Floor - Zone 3,Generic Office Area,222.521,1312.871,True,22.0,True,24.0
Ground Floor - Zone 4,Generic Office Area,16.651,98.241,True,22.0,True,24.0
Ground Floor - Zone 5,Generic Office Area,20.995,63.994,True,22.0,True,24.0
Ground Floor - Zone 7,Generic Office Area,7.048,41.585,True,22.0,True,24.0
Ground Floor - Zone 6,Generic Office Area,11.244,56.594,True,22.0,True,24.0
Ground Floor - Zone 2,Generic Office Area,122.974,725.549,True,22.0,True,24.0
Ground Floor - Zone 8,Generic Office Area,9.772,0.595,True,22.0,True,24.0
Ground Floor - Zone 9,Generic Office Area,16.708,98.579,True,22.0,True,24.0
Ground Floor - Zone 12,Generic Office Area,11.932,54.302,True,22.0,True,24.0
Ground Floor - Zone 13,Generic Office Area,13.717,63.546,True,22.0,True,24.0
Ground Floor - Zone 14,Generic Office Area,29.975,176.852,True,22.0,True,24.0
Ground Floor - Zone 16,Generic Office Area,4.42,26.08,True,22.0,True,24.0
Ground Floor - Zone 10,Generic Office Area,16.918,88.318,True,22.0,True,24.0
Ground Floor - Zone 19,Generic Office Area,7.246,42.748,True,22.0,True,24.0
Ground Floor - Zone 15,Generic Office Area,11.836,69.831,True,22.0,True,24.0
Ground Floor - Zone 18,Generic Office Area,5.267,31.075,True,22.0,True,24.0
Ground Floor - Zone 17,Generic Office Area,4.203,24.798,True,22.0,True,24.0
Ground Floor - Zone 11,Generic Office Area,152.999,902.695,True,22.0,True,24.0
Ground Floor - Zone 25,Generic Office Area,13.223,78.013,True,22.0,True,24.0
Ground Floor - Zone 31,Generic Office Area,23.536,138.862,True,22.0,True,24.0
Ground Floor - Zone 32,Generic Office Area,12.236,72.19,True,22.0,True,24.0
Ground Floor - Zone 33,Generic Office Area,17.361,102.432,True,22.0,True,24.0
Ground Floor - Zone 30,Generic Office Area,5.128,0.01,True,22.0,True,24.0
Ground Floor - Zone 40,Generic Office Area,14.659,78.781,True,22.0,True,24.0
Ground Floor - Zone 48,Generic Office Area,8.326,49.124,True,22.0,True,24.0
Ground Floor - Zone 39,Generic Office Area,4.355,25.695,True,22.0,True,24.0
Ground Floor - Zone 41,Generic Office Area,4.378,25.827,True,22.0,True,24.0
Ground Floor - Zone 42,Generic Office Area,7.35,43.362,True,22.0,True,24.0
Ground Floor - Zone 43,Generic Office Area,9.017,53.202,True,22.0,True,24.0
Ground Floor - Zone 45,Generic Office Area,13.007,62.137,True,22.0,True,24.0
Ground Floor - Zone 44,Generic Office Area,26.866,137.036,True,22.0,True,24.0
